Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
nocross,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.5639056946742994,0.8236171872350527,0.6042486231313926,0.724047051528012,0.7439431346482541,0.7615753300777718,0.5952560897622231,0.6869963916546841,0.6524157265266443,0.5631428505756184
nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.057037037037037,0.7179869777536625,0.8293543136190993,0.7981551817688551,0.3944655453065653,0.3944655453065653,,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.4509172037679722
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.1696364932287954,0.7155067155067155,0.8222764889431556,0.7701804368471035,0.6604259937593271,0.6604259937593271,,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.3971582613354765
nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.9023331524688007,0.9038252848616386,0.943163320672816,0.6570758230299419,0.4808587687532333,0.6418882257189366,0.7795713510580575,0.7021161150298426,0.7689907759088442,0.7689907759088442,,0.6146228974498101,0.6749864351600651,0.7021161150298426,0.7436807941962581
nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,0.1552440290758047,0.3883613673358654,,0.3883613673358654,0.5823385784047749,,0.5823385784047749,0.301953336950624,,0.301953336950624,
nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8160607704829083,0.8229788388497016,0.8749321758003256,0.3333841807909604,0.2259500171174255,0.3558057514921324,0.8632664134563213,0.3624525230602279,0.6620998372219208,0.8958220293000543,0.7023874118285405,0.3278621812262615,0.7847259902333152,0.3421052631578947,0.6183320811419984
nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.0860010851871947,0.446825827455236,0.1260173629951166,0.1233043950081389,0.2032013022246337,0.5463917525773195,0.0320130222463374,0.1268312533912099,0.1113673358654367,0.5631428505756184
nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.0860010851871947,0.446825827455236,0.1260173629951166,0.1233043950081389,0.2032013022246337,0.5463917525773195,0.0320130222463374,0.1268312533912099,0.1113673358654367,0.5631428505756184
nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.057037037037037,0.7179869777536625,0.8293543136190993,0.7981551817688551,0.3944655453065653,0.3944655453065653,,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.4509172037679722
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.1696364932287954,0.7155067155067155,0.8222764889431556,0.7701804368471035,0.6604259937593271,0.6604259937593271,,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.3971582613354765
nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.9023331524688007,0.9038252848616386,0.943163320672816,0.6570758230299419,0.4808587687532333,0.6418882257189366,0.7795713510580575,0.7021161150298426,0.7689907759088442,0.7689907759088442,,0.6146228974498101,0.6749864351600651,0.7021161150298426,0.7436807941962581
nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,0.1552440290758047,0.3883613673358654,,0.3883613673358654,0.5823385784047749,,0.5823385784047749,0.301953336950624,,0.301953336950624,
nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8160607704829083,0.8229788388497016,0.8749321758003256,0.3333841807909604,0.2259500171174255,0.3558057514921324,0.8632664134563213,0.3624525230602279,0.6620998372219208,0.8958220293000543,0.7023874118285405,0.3278621812262615,0.7847259902333152,0.3421052631578947,0.6183320811419984
